               data_ora        rad  temperatura
2023-04-06 23:08:23.768  -5.122272        40.32
2023-04-06 23:08:23.976  -5.105453        40.32
2023-04-06 23:08:24.185  -4.920440        40.32
2023-04-06 23:08:24.392  -4.937259        40.32
2023-04-06 23:08:24.602  -4.903620        40.32
2023-04-06 23:08:24.810  -4.987717        40.32
2023-04-06 23:08:25.018  -4.802704        40.32
2023-04-06 23:08:25.233  -4.819523        40.32
2023-04-06 23:08:25.450  -4.668149        40.32
2023-04-06 23:08:25.658  -4.617691        40.32
2023-04-06 23:08:25.867  -4.550413        40.32
2023-04-06 23:08:26.074  -4.735426        40.32
2023-04-06 23:08:26.250  -4.146748        40.32
2023-04-06 23:08:26.459  -4.247664        40.32
2023-04-06 23:08:26.668  -4.079470        40.32
2023-04-06 23:08:26.866  -4.029012        40.32
2023-04-06 23:08:27.068  -4.029012        40.32
2023-04-06 23:08:27.275  -4.331761        40.32
2023-04-06 23:08:27.484  -4.415858        40.32
2023-04-06 23:08:27.691  -3.995373        40.32
2023-04-06 23:08:27.916  -3.961735        40.32
2023-04-06 23:08:28.124  -4.415858        40.32
2023-04-06 23:08:28.332  -4.247664        40.32
2023-04-06 23:08:28.540  -4.247664        40.32
2023-04-06 23:08:28.733  -4.600871        40.32
2023-04-06 23:08:28.941  -4.432678        40.32
2023-04-06 23:08:29.154  -4.567233        40.32
2023-04-06 23:08:29.371  -4.769065        40.32
2023-04-06 23:08:29.581  -4.651330        40.32
2023-04-06 23:08:29.790  -4.499955        40.32
