rad;T;elevaz;;;
3039;40.35;40;;;
3041;40.35;40;;;
3052;40.35;40;;;
3048;40.35;40;;;
3027;40.35;40;;;
3051;40.35;40;;;
3049;40.35;40;;;
3064;40.35;40;;;
3055;40.35;40;;;
3055;40.35;40;;;
3029;40.35;40;;;
3023;40.35;40;;;
3016;40.35;40;;;
3008;40.32;40;;;
3002;40.32;40;;;
3002;40.32;40;;;
3005;40.32;40;;;
3016;40.32;40;;;
3029;40.32;40;;;
3040;40.32;40;;;
3062;40.32;40;;;
3062;40.32;40;;;
3057;40.32;40;;;
3042;40.32;40;;;
3063;40.32;40;;;
3084;40.32;40;;;
3067;40.32;40;;;
3043;40.32;40;;;
3065;40.32;40;;;
3053;40.32;40;;;
3038;40.32;40;;;
3045;40.32;40;;;
3066;40.32;40;;;
3052;40.32;40;;;
3066;40.32;40;;;
3075;40.32;40;;;
3058;40.32;40;;;
3050;40.32;40;;;
3040;40.32;40;;;
3027;40.32;40;;;
3021;40.29;40;;;
3018;40.29;40;;;
3031;40.29;40;;;
2998;40.29;40;;;
3015;40.29;40;;;
3001;40.29;40;;;
3005;40.29;40;;;
3027;40.29;40;;;
3038;40.29;40;;;
