rad;temperatura;elevazione;;;
3972;40.22;25;;;
3981;40.22;25;;;
3963;40.22;25;;;
3973;40.22;25;;;
3970;40.22;25;;;
3972;40.22;25;;;
3975;40.22;25;;;
3975;40.22;25;;;
3975;40.22;25;;;
3970;40.22;25;;;
3982;40.22;25;;;
3964;40.22;25;;;
3950;40.22;25;;;
3967;40.22;25;;;
3969;40.22;25;;;
3939;40.22;25;;;
3961;40.22;25;;;
3955;40.26;25;;;
3962;40.26;25;;;
3958;40.26;25;;;
3962;40.26;25;;;
3939;40.26;25;;;
3939;40.26;25;;;
3935;40.26;25;;;
3933;40.26;25;;;
3949;40.26;25;;;
3937;40.26;25;;;
3922;40.26;25;;;
3932;40.26;25;;;
3917;40.26;25;;;
3933;40.26;25;;;
3913;40.26;25;;;
3928;40.26;25;;;
3919;40.26;25;;;
3920;40.26;25;;;
3932;40.26;25;;;
3921;40.26;25;;;
3950;40.26;25;;;
3943;40.26;25;;;
3966;40.26;25;;;
3974;40.26;25;;;
3969;40.29;25;;;
3989;40.29;25;;;
3997;40.29;25;;;
3995;40.29;25;;;
4021;40.29;25;;;
4029;40.29;25;;;
4050;40.29;25;;;
4039;40.29;25;;;
4049;40.29;25;;;
4057;40.29;25;;;
4062;40.29;25;;;
4047;40.29;25;;;
4043;40.29;25;;;
4030;40.29;25;;;
4058;40.29;25;;;
4046;40.29;25;;;
4022;40.29;25;;;
4011;40.29;25;;;
4005;40.29;25;;;
3995;40.29;25;;;
3970;40.29;25;;;
3953;40.29;25;;;
3941;40.29;25;;;
3915;40.29;25;;;
3898;40.29;25;;;
3882;40.32;25;;;
3863;40.32;25;;;
3838;40.32;25;;;
3830;40.32;25;;;
3821;40.32;25;;;
3843;40.32;25;;;
3850;40.32;25;;;
3859;40.32;25;;;
3877;40.32;25;;;
3900;40.32;25;;;
3901;40.32;25;;;
3910;40.32;25;;;
3929;40.32;25;;;
3943;40.32;25;;;
3947;40.32;25;;;
3958;40.32;25;;;
3972;40.32;25;;;
3978;40.32;25;;;
3959;40.32;25;;;
3958;40.32;25;;;
3954;40.32;25;;;
3957;40.32;25;;;
3950;40.32;25;;;
3933;40.32;25;;;
3974;40.32;25;;;
3953;40.32;25;;;
3968;40.32;25;;;
3969;40.35;25;;;
4004;40.35;25;;;
4008;40.35;25;;;
3998;40.35;25;;;
3992;40.35;25;;;
3977;40.35;25;;;
3990;40.35;25;;;
3985;40.35;25;;;
3994;40.35;25;;;
3993;40.35;25;;;
3999;40.35;25;;;
3998;40.35;25;;;
3989;40.35;25;;;
3997;40.35;25;;;
3987;40.35;25;;;
3994;40.35;25;;;
3983;40.35;25;;;
3980;40.35;25;;;
3992;40.35;25;;;
3990;40.35;25;;;
3998;40.35;25;;;
4011;40.35;25;;;
